all,quarter,industry_section_code,industry_section,industry_division,number_of_persons_engaged_total,number_of_persons_engaged_male,number_of_persons_engaged_female,number_of_vacancies,number_of_establishments
All,2000 Q4,I,Accommodation and food services,Accommodation services,29283,16991,12292,529,774
All,2000 Q4,I,Accommodation and food services,Food and beverage services,189927,93503,96424,1146,10729
All,2000 Q4,J,Information and communications,Publishing,19116,11264,7852,216,1129
All,2000 Q4,J,Information and communications,"Motion picture, video and television programme production, sound recording and music publishing; Programming and broadcasting",14191,9134,5057,234,1460
All,2000 Q4,J,Information and communications,Telecommunications,26706,16899,9807,238,491
All,2000 Q4,J,Information and communications,Information technology services,23593,16855,6738,697,3475
All,2000 Q4,J,Information and communications,Information services,4518,2796,1722,90,382
All,2000 Q4,K,Financing and insurance,Financial services (except insurance and pension funding),106594,48686,57908,1095,5958
All,2000 Q4,K,Financing and insurance,Insurance,10969,4057,6912,361,169
All,2000 Q4,K,Financing and insurance,Services auxiliary to financial and insurance services,41145,20426,20719,584,9152
All,2000 Q4,L,Real estate,Real estate,81181,53751,27430,1289,10880
All,2000 Q4,M,"Professional, scientific and technical services",Legal and accounting services,34103,15939,18164,490,4561
All,2000 Q4,M,"Professional, scientific and technical services",Activities of head offices; management and management consultancy services,22112,11046,11066,200,3092
All,2000 Q4,M,"Professional, scientific and technical services","Architecture and engineering services, technical testing and analysis",26489,18073,8416,494,2405
All,2000 Q4,M,"Professional, scientific and technical services",Scientific research and development,165,92,73,8,42
All,2000 Q4,M,"Professional, scientific and technical services",Advertising and market research,14738,7928,6810,394,2864
All,2000 Q4,M,"Professional, scientific and technical services","Veterinary services; Other professional, scientific and technical services",15078,8837,6241,239,4710
All,2000 Q4,N,Administrative and support services,Rental and leasing services,2135,1450,685,31,543
All,2000 Q4,N,Administrative and support services,Employment services,6687,2350,4337,149,1222
All,2000 Q4,N,Administrative and support services,"Travel agency, reservation service and related services",19007,8494,10513,255,2187
All,2000 Q4,N,Administrative and support services,Security and investigation services,32333,28074,4259,786,126
All,2000 Q4,N,Administrative and support services,Services to buildings and landscape care,43450,14728,28722,412,1076
All,2000 Q4,N,Administrative and support services,"Office administrative, office support and other business support services",18765,10290,8475,151,4309
All,2000 Q4,P,Education,Education,117124,44288,72836,735,3676
All,2000 Q4,Q,Human health and social work services,Human health services,67110,17622,49488,2117,4405
All,2000 Q4,Q,Human health and social work services,Residential care services,16483,2748,13735,396,948
All,2000 Q4,Q,Human health and social work services,Social work services,17351,3488,13863,155,1260
All,2000 Q4,R,"Arts, entertainment and recreation",Creative and performing arts activities,2082,1152,930,22,491
All,2000 Q4,R,"Arts, entertainment and recreation","Libraries, archives, museums and other cultural activities",386,130,256,12,62
All,2000 Q4,R,"Arts, entertainment and recreation",Amusement parks and theme parks,0,0,0,0,0
